"Ne"	"width"	"var1"	"var2"	"var3"	"cor12"	"cor13"
"1"	100	1	0.0726944099680909	0.0731919060982719	0.00265433802185294	-0.981811144125114	0.0776353816712
"2"	100	5	0.232750564775134	0.230745682035677	0.0565536167880847	-0.877992950163678	0.255202180228499
"3"	100	10	0.306508018398475	0.310774436391035	0.258263534847414	-0.58162595211242	0.451384171340968
"4"	100	50	0.504294966967765	0.521713714171761	1.04831443855831	0.0217434540888723	0.708919019631571
"5"	100	100	0.49019955186759	0.480338991246858	0.998008728463089	0.0283055252515005	0.720477780200538
"6"	1000	1	0.00508452963066486	0.00512096937034301	0.000239805598916906	-0.97650854004228	0.092085870881549
"7"	1000	5	0.131743280090859	0.132915585037651	0.00605892208082497	-0.977116258241403	0.0864801427859312
"8"	1000	10	0.203715241092536	0.194372300955014	0.0248017638324914	-0.937956072381279	0.240181919397386
"9"	1000	50	0.333631043739405	0.369164761647386	0.491187674925877	-0.301480348058833	0.562792359806302
"10"	1000	100	0.456106066234469	0.466861079168492	0.745273277480235	-0.192537658626994	0.629914934189081
"11"	10000	1	0.000206725648524408	0.000216675426932185	2.34198143740626e-05	-0.944947407088204	0.0967943157032204
"12"	10000	5	0.0169212005421851	0.0168156759480513	0.000619912681820108	-0.981629873778066	0.111992522110828
"13"	10000	10	0.0728523677604907	0.0768891938276137	0.0025104267200059	-0.983592423311454	-0.0564342250783012
"14"	10000	50	0.253390174770774	0.258267615928184	0.0603687937091383	-0.882053417563727	0.224333524895997
"15"	10000	100	0.296998492896322	0.3080650059795	0.237649269742893	-0.607334103946488	0.42643367756179
"16"	1e+05	1	5.53409091491775e-06	5.81531420238789e-06	2.31926332752573e-06	-0.79589327815088	0.284435985987638
"17"	1e+05	5	0.000738844111988038	0.000737032761466615	6.32625615153358e-05	-0.957136331114077	0.15049675146661
"18"	1e+05	10	0.00465815487691954	0.00455739478319668	0.000238376204304304	-0.974191494497895	0.16091845987314
"19"	1e+05	50	0.13817393918345	0.141358978023536	0.00630287840910121	-0.977515562436647	0.0528252103069351
"20"	1e+05	100	0.219257344593175	0.221248827852568	0.0277234312495027	-0.937074178329999	0.165022097882879
